チーム,アシストした選手,アシストされた選手,回数,チーム内順位
ライジングゼファー福岡,堤 啓士朗,村上 駿斗,6,55
ライジングゼファー福岡,デイビッド・ドブラス,ガニ・ラワル,5,56
ライジングゼファー福岡,ニック・ウォッシュバーン,薦田 拓也,5,57
ライジングゼファー福岡,加納 誠也,ニック・ウォッシュバーン,5,58
ライジングゼファー福岡,城宝 匡史,ニック・ウォッシュバーン,5,59
ライジングゼファー福岡,青木 ブレイク,ケビン・ピンキニー,5,60
ライジングゼファー福岡,石谷 聡,村上 駿斗,5,61
ライジングゼファー福岡,堤 啓士朗,ニック・ウォッシュバーン,5,62
ライジングゼファー福岡,堤 啓士朗,薦田 拓也,5,63
ライジングゼファー福岡,ケビン・ピンキニー,加納 督大,4,64
ライジングゼファー福岡,ショーン・マーシャル,加納 督大,4,65
ライジングゼファー福岡,ショーン・マーシャル,青木 ブレイク,4,66
ライジングゼファー福岡,デイビッド・ドブラス,加納 誠也,4,67
ライジングゼファー福岡,デイビッド・ドブラス,石谷 聡,4,68
ライジングゼファー福岡,デイビッド・ドブラス,薦田 拓也,4,69
ライジングゼファー福岡,加納 誠也,ショーン・マーシャル,4,70
ライジングゼファー福岡,荒川 颯,デイビッド・ドブラス,4,71
ライジングゼファー福岡,荒川 颯,城宝 匡史,4,72
ライジングゼファー福岡,城宝 匡史,加納 督大,4,73
ライジングゼファー福岡,城宝 匡史,石谷 聡,4,74
ライジングゼファー福岡,青木 ブレイク,ショーン・マーシャル,4,75
ライジングゼファー福岡,青木 ブレイク,加納 誠也,4,76
ライジングゼファー福岡,石谷 聡,加納 督大,4,77
ライジングゼファー福岡,石谷 聡,青木 ブレイク,4,78
ライジングゼファー福岡,薦田 拓也,ケビン・ピンキニー,4,79
ライジングゼファー福岡,薦田 拓也,加納 督大,4,80
ライジングゼファー福岡,薦田 拓也,城宝 匡史,4,81
ライジングゼファー福岡,薦田 拓也,村上 駿斗,4,82
ライジングゼファー福岡,村上 駿斗,石谷 聡,4,83
ライジングゼファー福岡,ケビン・ピンキニー,青木 ブレイク,3,84
ライジングゼファー福岡,ケビン・ピンキニー,石谷 聡,3,85
ライジングゼファー福岡,デイビッド・ドブラス,加納 督大,3,86
ライジングゼファー福岡,デイビッド・ドブラス,村上 駿斗,3,87
ライジングゼファー福岡,ニック・ウォッシュバーン,ケビン・ピンキニー,3,88
ライジングゼファー福岡,ニック・ウォッシュバーン,加納 誠也,3,89
ライジングゼファー福岡,ニック・ウォッシュバーン,城宝 匡史,3,90
ライジングゼファー福岡,ニック・ウォッシュバーン,石谷 聡,3,91
ライジングゼファー福岡,加納 督大,ニック・ウォッシュバーン,3,92
ライジングゼファー福岡,加納 督大,加納 誠也,3,93
ライジングゼファー福岡,加納 督大,城宝 匡史,3,94
ライジングゼファー福岡,加納 督大,石谷 聡,3,95
ライジングゼファー福岡,荒川 颯,青木 ブレイク,3,96
ライジングゼファー福岡,城宝 匡史,薦田 拓也,3,97
ライジングゼファー福岡,城宝 匡史,平良 彰吾,3,98
ライジングゼファー福岡,新城 真司,デイビッド・ドブラス,3,99
ライジングゼファー福岡,青木 ブレイク,ニック・ウォッシュバーン,3,100
ライジングゼファー福岡,青木 ブレイク,城宝 匡史,3,101
ライジングゼファー福岡,青木 ブレイク,薦田 拓也,3,102
ライジングゼファー福岡,青木 ブレイク,村上 駿斗,3,103
ライジングゼファー福岡,薦田 拓也,石谷 聡,3,104
ライジングゼファー福岡,村上 駿斗,堤 啓士朗,3,105
ライジングゼファー福岡,堤 啓士朗,加納 督大,3,106
ライジングゼファー福岡,ニック・ウォッシュバーン,青木 ブレイク,2,107
ライジングゼファー福岡,加納 誠也,加納 督大,2,108
ライジングゼファー福岡,加納 誠也,青木 ブレイク,2,109
ライジングゼファー福岡,加納 誠也,石谷 聡,2,110
ライジングゼファー福岡,加納 督大,ショーン・マーシャル,2,111
ライジングゼファー福岡,加納 督大,薦田 拓也,2,112
ライジングゼファー福岡,権藤 和也,村上 駿斗,2,113
ライジングゼファー福岡,荒川 颯,ガニ・ラワル,2,114
ライジングゼファー福岡,荒川 颯,村上 駿斗,2,115
ライジングゼファー福岡,今川 友哲,デイビッド・ドブラス,2,116
ライジングゼファー福岡,城宝 匡史,荒川 颯,2,117
ライジングゼファー福岡,新城 真司,加納 誠也,2,118
ライジングゼファー福岡,薦田 拓也,ショーン・マーシャル,2,119
ライジングゼファー福岡,村上 駿斗,ガニ・ラワル,2,120
ライジングゼファー福岡,村上 駿斗,加納 督大,2,121
ライジングゼファー福岡,村上 駿斗,権藤 和也,2,122
ライジングゼファー福岡,堤 啓士朗,ガニ・ラワル,2,123
ライジングゼファー福岡,平良 彰吾,加納 誠也,2,124
ライジングゼファー福岡,鈴木 龍雄,村上 駿斗,2,125
ライジングゼファー福岡,ガニ・ラワル,デイビッド・ドブラス,1,126
ライジングゼファー福岡,ガニ・ラワル,堤 啓士朗,1,127
ライジングゼファー福岡,ケビン・ピンキニー,ニック・ウォッシュバーン,1,128
ライジングゼファー福岡,ケビン・ピンキニー,荒川 颯,1,129
ライジングゼファー福岡,ショーン・マーシャル,堤 啓士朗,1,130
ライジングゼファー福岡,デイビッド・ドブラス,今川 友哲,1,131
ライジングゼファー福岡,デイビッド・ドブラス,新城 真司,1,132
ライジングゼファー福岡,デイビッド・ドブラス,青木 ブレイク,1,133
ライジングゼファー福岡,デイビッド・ドブラス,堤 啓士朗,1,134
ライジングゼファー福岡,デイビッド・ドブラス,平良 彰吾,1,135
ライジングゼファー福岡,ニック・ウォッシュバーン,堤 啓士朗,1,136
ライジングゼファー福岡,加納 誠也,薦田 拓也,1,137
ライジングゼファー福岡,加納 督大,堤 啓士朗,1,138
ライジングゼファー福岡,権藤 和也,デイビッド・ドブラス,1,139
ライジングゼファー福岡,権藤 和也,加納 督大,1,140
ライジングゼファー福岡,権藤 和也,城宝 匡史,1,141
ライジングゼファー福岡,荒川 颯,加納 誠也,1,142
ライジングゼファー福岡,荒川 颯,今川 友哲,1,143
ライジングゼファー福岡,荒川 颯,薦田 拓也,1,144
ライジングゼファー福岡,今川 友哲,城宝 匡史,1,145
ライジングゼファー福岡,今川 友哲,青木 ブレイク,1,146
ライジングゼファー福岡,今川 友哲,薦田 拓也,1,147
ライジングゼファー福岡,城宝 匡史,ガニ・ラワル,1,148
ライジングゼファー福岡,城宝 匡史,権藤 和也,1,149
ライジングゼファー福岡,城宝 匡史,今川 友哲,1,150
ライジングゼファー福岡,新城 真司,ケビン・ピンキニー,1,151
ライジングゼファー福岡,新城 真司,青木 ブレイク,1,152
ライジングゼファー福岡,新城 真司,村上 駿斗,1,153
ライジングゼファー福岡,青木 ブレイク,新城 真司,1,154
ライジングゼファー福岡,青木 ブレイク,鈴木 龍雄,1,155
ライジングゼファー福岡,石谷 聡,荒川 颯,1,156
ライジングゼファー福岡,薦田 拓也,青木 ブレイク,1,157
ライジングゼファー福岡,薦田 拓也,平良 彰吾,1,158
ライジングゼファー福岡,村上 駿斗,荒川 颯,1,159
ライジングゼファー福岡,村上 駿斗,新城 真司,1,160
ライジングゼファー福岡,村上 駿斗,平良 彰吾,1,161
ライジングゼファー福岡,堤 啓士朗,荒川 颯,1,162
ライジングゼファー福岡,堤 啓士朗,今川 友哲,1,163
ライジングゼファー福岡,堤 啓士朗,新城 真司,1,164
ライジングゼファー福岡,平良 彰吾,ケビン・ピンキニー,1,165
ライジングゼファー福岡,平良 彰吾,青木 ブレイク,1,166
ライジングゼファー福岡,平良 彰吾,村上 駿斗,1,167
ライジングゼファー福岡,鈴木 龍雄,新城 真司,1,168
愛媛オレンジバイキングス,ブライアン・ヴォールケル,チェハーレス・タプスコット,89,1
愛媛オレンジバイキングス,俊野 達彦,チェハーレス・タプスコット,43,2
愛媛オレンジバイキングス,チェハーレス・タプスコット,伊集 貴也,31,3
愛媛オレンジバイキングス,チェハーレス・タプスコット,高畠 佳介,31,4
愛媛オレンジバイキングス,笠原 太志,チェハーレス・タプスコット,31,5
愛媛オレンジバイキングス,チェハーレス・タプスコット,俊野 達彦,28,6
愛媛オレンジバイキングス,ブライアン・ヴォールケル,笠原 太志,28,7
愛媛オレンジバイキングス,クリス・ブレディ,チェハーレス・タプスコット,27,8
愛媛オレンジバイキングス,チェハーレス・タプスコット,クリス・ブレディ,24,9
愛媛オレンジバイキングス,ブライアン・ヴォールケル,俊野 佳彦,23,10
愛媛オレンジバイキングス,チェハーレス・タプスコット,笠原 太志,22,11
愛媛オレンジバイキングス,チェハーレス・タプスコット,楯 昌宗,21,12
愛媛オレンジバイキングス,チェハーレス・タプスコット,ブライアン・ヴォールケル,20,13
愛媛オレンジバイキングス,俊野 達彦,高畠 佳介,20,14
愛媛オレンジバイキングス,伊集 貴也,チェハーレス・タプスコット,19,15
愛媛オレンジバイキングス,チェハーレス・タプスコット,俊野 佳彦,18,16
愛媛オレンジバイキングス,ブライアン・ヴォールケル,俊野 達彦,17,17
愛媛オレンジバイキングス,高畠 佳介,チェハーレス・タプスコット,16,18
愛媛オレンジバイキングス,俊野 佳彦,チェハーレス・タプスコット,15,19
愛媛オレンジバイキングス,笠原 太志,クリス・ブレディ,14,20
愛媛オレンジバイキングス,俊野 達彦,クリス・ブレディ,14,21
愛媛オレンジバイキングス,ブライアン・ヴォールケル,高畠 佳介,13,22
愛媛オレンジバイキングス,俊野 達彦,笠原 太志,13,23
愛媛オレンジバイキングス,笠原 太志,高畠 佳介,12,24
愛媛オレンジバイキングス,高畠 佳介,伊集 貴也,12,25
愛媛オレンジバイキングス,ブライアン・ヴォールケル,伊集 貴也,11,26
愛媛オレンジバイキングス,伊集 貴也,クリス・ブレディ,11,27
愛媛オレンジバイキングス,伊集 貴也,笠原 太志,11,28
愛媛オレンジバイキングス,俊野 達彦,伊集 貴也,11,29
愛媛オレンジバイキングス,俊野 達彦,俊野 佳彦,11,30
愛媛オレンジバイキングス,俊野 達彦,楯 昌宗,11,31
愛媛オレンジバイキングス,クリス・ブレディ,俊野 達彦,10,32
愛媛オレンジバイキングス,笠原 太志,伊集 貴也,10,33
愛媛オレンジバイキングス,笠原 太志,俊野 達彦,10,34
愛媛オレンジバイキングス,俊野 達彦,ブライアン・ヴォールケル,9,35
愛媛オレンジバイキングス,楯 昌宗,チェハーレス・タプスコット,9,36
愛媛オレンジバイキングス,クリス・ブレディ,伊集 貴也,8,37
愛媛オレンジバイキングス,クリス・ブレディ,笠原 太志,8,38
愛媛オレンジバイキングス,伊集 貴也,高畠 佳介,8,39
愛媛オレンジバイキングス,笠原 太志,楯 昌宗,8,40
愛媛オレンジバイキングス,クリス・ブレディ,楯 昌宗,7,41
愛媛オレンジバイキングス,伊集 貴也,俊野 達彦,7,42
愛媛オレンジバイキングス,笠原 太志,ブライアン・ヴォールケル,7,43
愛媛オレンジバイキングス,高畠 佳介,クリス・ブレディ,7,44
愛媛オレンジバイキングス,高畠 佳介,笠原 太志,7,45
愛媛オレンジバイキングス,クリス・ブレディ,高畠 佳介,6,46
愛媛オレンジバイキングス,伊集 貴也,俊野 佳彦,5,47
愛媛オレンジバイキングス,俊野 佳彦,ブライアン・ヴォールケル,5,48
愛媛オレンジバイキングス,俊野 佳彦,伊集 貴也,5,49
愛媛オレンジバイキングス,ブライアン・ヴォールケル,楯 昌宗,4,50
愛媛オレンジバイキングス,楯 昌宗,ブライアン・ヴォールケル,4,51
愛媛オレンジバイキングス,ブライアン・ヴォールケル,速井 寛太,3,52
愛媛オレンジバイキングス,伊集 貴也,楯 昌宗,3,53
愛媛オレンジバイキングス,笠原 太志,俊野 佳彦,3,54
愛媛オレンジバイキングス,高畠 佳介,ブライアン・ヴォールケル,3,55
愛媛オレンジバイキングス,高畠 佳介,俊野 達彦,3,56
愛媛オレンジバイキングス,俊野 佳彦,笠原 太志,3,57
愛媛オレンジバイキングス,俊野 佳彦,高畠 佳介,3,58
愛媛オレンジバイキングス,俊野 達彦,速井 寛太,3,59
愛媛オレンジバイキングス,楯 昌宗,クリス・ブレディ,3,60
愛媛オレンジバイキングス,チェハーレス・タプスコット,プイ エリマン,2,61
愛媛オレンジバイキングス,プイ エリマン,高畠 佳介,2,62
愛媛オレンジバイキングス,伊集 貴也,速井 寛太,2,63
愛媛オレンジバイキングス,高畠 佳介,俊野 佳彦,2,64
愛媛オレンジバイキングス,高畠 佳介,松井 陸,2,65
愛媛オレンジバイキングス,俊野 佳彦,俊野 達彦,2,66
愛媛オレンジバイキングス,楯 昌宗,松井 陸,2,67
愛媛オレンジバイキングス,松井 陸,ブライアン・ヴォールケル,2,68
愛媛オレンジバイキングス,松井 陸,楯 昌宗,2,69
愛媛オレンジバイキングス,クリス・ブレディ,俊野 佳彦,1,70
愛媛オレンジバイキングス,クリス・ブレディ,速井 寛太,1,71
愛媛オレンジバイキングス,チェハーレス・タプスコット,速井 寛太,1,72
愛媛オレンジバイキングス,プイ エリマン,チェハーレス・タプスコット,1,73
愛媛オレンジバイキングス,プイ エリマン,俊野 佳彦,1,74
愛媛オレンジバイキングス,プイ エリマン,俊野 達彦,1,75
愛媛オレンジバイキングス,伊集 貴也,ブライアン・ヴォールケル,1,76
愛媛オレンジバイキングス,笠原 太志,プイ エリマン,1,77
愛媛オレンジバイキングス,高畠 佳介,楯 昌宗,1,78
愛媛オレンジバイキングス,高畠 佳介,速井 寛太,1,79
愛媛オレンジバイキングス,俊野 佳彦,クリス・ブレディ,1,80
愛媛オレンジバイキングス,俊野 佳彦,楯 昌宗,1,81
愛媛オレンジバイキングス,俊野 達彦,松井 陸,1,82
愛媛オレンジバイキングス,楯 昌宗,プイ エリマン,1,83
愛媛オレンジバイキングス,楯 昌宗,伊集 貴也,1,84
愛媛オレンジバイキングス,楯 昌宗,高畠 佳介,1,85
愛媛オレンジバイキングス,松井 陸,伊集 貴也,1,86
愛媛オレンジバイキングス,松井 陸,高畠 佳介,1,87
愛媛オレンジバイキングス,松井 陸,速井 寛太,1,88
愛媛オレンジバイキングス,速井 寛太,伊集 貴也,1,89
茨城ロボッツ,平尾 充庸,眞庭 城聖,37,1
茨城ロボッツ,眞庭 城聖,アレクサンダー・ジョーンズ,34,2
茨城ロボッツ,眞庭 城聖,ダニエル・オチェフ,33,3
茨城ロボッツ,平尾 充庸,ダニエル・オチェフ,31,4
茨城ロボッツ,平尾 充庸,福澤 晃平,28,5
茨城ロボッツ,眞庭 城聖,平尾 充庸,25,6
茨城ロボッツ,ダニエル・オチェフ,福澤 晃平,24,7
茨城ロボッツ,ダニエル・オチェフ,小林 大祐,23,8
茨城ロボッツ,平尾 充庸,アレクサンダー・ジョーンズ,23,9
茨城ロボッツ,眞庭 城聖,小林 大祐,23,10
茨城ロボッツ,眞庭 城聖,福澤 晃平,23,11
茨城ロボッツ,ダニエル・オチェフ,アレクサンダー・ジョーンズ,21,12
茨城ロボッツ,平尾 充庸,小林 大祐,21,13
茨城ロボッツ,髙橋 祐二,アレクサンダー・ジョーンズ,19,14
茨城ロボッツ,髙橋 祐二,福澤 晃平,19,15
茨城ロボッツ,ダニエル・オチェフ,眞庭 城聖,17,16
茨城ロボッツ,ダニエル・オチェフ,平尾 充庸,16,17
茨城ロボッツ,小林 大祐,ダニエル・オチェフ,16,18
茨城ロボッツ,髙橋 祐二,眞庭 城聖,16,19
茨城ロボッツ,アレクサンダー・ジョーンズ,眞庭 城聖,15,20
茨城ロボッツ,福澤 晃平,アレクサンダー・ジョーンズ,14,21
茨城ロボッツ,小林 大祐,眞庭 城聖,13,22
茨城ロボッツ,福澤 晃平,眞庭 城聖,13,23
茨城ロボッツ,平尾 充庸,ウィル・クリークモア,13,24
茨城ロボッツ,福澤 晃平,ダニエル・オチェフ,12,25
茨城ロボッツ,眞庭 城聖,ジャーラ 志多斗,12,26
茨城ロボッツ,アレクサンダー・ジョーンズ,ダニエル・オチェフ,11,27
茨城ロボッツ,小林 大祐,福澤 晃平,10,28
茨城ロボッツ,二ノ宮 康平,ダニエル・オチェフ,10,29
茨城ロボッツ,ダニエル・オチェフ,ニコラス・カナー メドリー,9,30
茨城ロボッツ,鶴巻 啓太,福澤 晃平,9,31
茨城ロボッツ,髙橋 祐二,ダニエル・オチェフ,9,32
茨城ロボッツ,アレクサンダー・ジョーンズ,小林 大祐,8,33
茨城ロボッツ,福澤 晃平,小林 大祐,8,34
茨城ロボッツ,眞庭 城聖,ウィル・クリークモア,8,35
茨城ロボッツ,眞庭 城聖,髙橋 祐二,8,36
茨城ロボッツ,アレクサンダー・ジョーンズ,鶴巻 啓太,7,37
茨城ロボッツ,小林 大祐,アレクサンダー・ジョーンズ,7,38
茨城ロボッツ,福澤 晃平,ニコラス・カナー メドリー,7,39
茨城ロボッツ,眞庭 城聖,鶴巻 啓太,7,40
茨城ロボッツ,髙橋 祐二,ジャーラ 志多斗,7,41
茨城ロボッツ,髙橋 祐二,小林 大祐,7,42
茨城ロボッツ,アレクサンダー・ジョーンズ,福澤 晃平,6,43
茨城ロボッツ,ウィル・クリークモア,平尾 充庸,6,44
茨城ロボッツ,ジャーラ 志多斗,福澤 晃平,6,45
茨城ロボッツ,ダニエル・オチェフ,髙橋 祐二,6,46
茨城ロボッツ,小林 大祐,平尾 充庸,6,47
茨城ロボッツ,鶴巻 啓太,眞庭 城聖,6,48
茨城ロボッツ,二ノ宮 康平,ニコラス・カナー メドリー,6,49
茨城ロボッツ,福澤 晃平,鶴巻 啓太,6,50
茨城ロボッツ,平尾 充庸,鶴巻 啓太,6,51
茨城ロボッツ,髙橋 祐二,鶴巻 啓太,6,52
茨城ロボッツ,アレクサンダー・ジョーンズ,平尾 充庸,5,53
茨城ロボッツ,ウィル・クリークモア,眞庭 城聖,5,54
茨城ロボッツ,久保田 遼,鶴巻 啓太,5,55
茨城ロボッツ,小林 大祐,ウィル・クリークモア,5,56
茨城ロボッツ,鶴巻 啓太,アレクサンダー・ジョーンズ,5,57
茨城ロボッツ,二ノ宮 康平,福澤 晃平,5,58
茨城ロボッツ,福澤 晃平,ウィル・クリークモア,5,59
茨城ロボッツ,平尾 充庸,ニコラス・カナー メドリー,5,60
茨城ロボッツ,髙橋 祐二,ウィル・クリークモア,5,61
茨城ロボッツ,ウィル・クリークモア,アレクサンダー・ジョーンズ,4,62
茨城ロボッツ,ニコラス・カナー メドリー,福澤 晃平,4,63
茨城ロボッツ,ニコラス・カナー メドリー,眞庭 城聖,4,64
茨城ロボッツ,小林 大祐,ジャーラ 志多斗,4,65
茨城ロボッツ,鶴巻 啓太,髙橋 祐二,4,66
茨城ロボッツ,二ノ宮 康平,ウィル・クリークモア,4,67
茨城ロボッツ,福澤 晃平,ジャーラ 志多斗,4,68
茨城ロボッツ,眞庭 城聖,ニコラス・カナー メドリー,4,69
茨城ロボッツ,眞庭 城聖,二ノ宮 康平,4,70
茨城ロボッツ,髙橋 祐二,ニコラス・カナー メドリー,4,71
茨城ロボッツ,髙橋 祐二,久保田 遼,4,72
茨城ロボッツ,ウィル・クリークモア,ニコラス・カナー メドリー,3,73
茨城ロボッツ,ウィル・クリークモア,福澤 晃平,3,74
茨城ロボッツ,ジャーラ 志多斗,小林 大祐,3,75
茨城ロボッツ,ダニエル・オチェフ,ウィル・クリークモア,3,76
茨城ロボッツ,ダニエル・オチェフ,鶴巻 啓太,3,77
茨城ロボッツ,ニコラス・カナー メドリー,ジャーラ 志多斗,3,78
茨城ロボッツ,ニコラス・カナー メドリー,ダニエル・オチェフ,3,79
茨城ロボッツ,ニコラス・カナー メドリー,二ノ宮 康平,3,80
茨城ロボッツ,平尾 充庸,ジャーラ 志多斗,3,81
茨城ロボッツ,平尾 充庸,友利 健哉,3,82
茨城ロボッツ,友利 健哉,眞庭 城聖,3,83
茨城ロボッツ,ウィル・クリークモア,ダニエル・オチェフ,2,84
茨城ロボッツ,ウィル・クリークモア,二ノ宮 康平,2,85
茨城ロボッツ,ジャーラ 志多斗,鶴巻 啓太,2,86
茨城ロボッツ,ジャーラ 志多斗,平尾 充庸,2,87
茨城ロボッツ,ニコラス・カナー メドリー,ウィル・クリークモア,2,88
茨城ロボッツ,ニコラス・カナー メドリー,小林 大祐,2,89
茨城ロボッツ,ニコラス・カナー メドリー,平尾 充庸,2,90
茨城ロボッツ,ニコラス・カナー メドリー,髙橋 祐二,2,91
茨城ロボッツ,久保田 遼,ジャーラ 志多斗,2,92
茨城ロボッツ,小林 大祐,髙橋 祐二,2,93
茨城ロボッツ,鶴巻 啓太,久保田 遼,2,94
茨城ロボッツ,鶴巻 啓太,小林 大祐,2,95
茨城ロボッツ,二ノ宮 康平,小林 大祐,2,96
茨城ロボッツ,二ノ宮 康平,平尾 充庸,2,97
茨城ロボッツ,二ノ宮 康平,眞庭 城聖,2,98
茨城ロボッツ,福澤 晃平,平尾 充庸,2,99
茨城ロボッツ,福澤 晃平,友利 健哉,2,100
茨城ロボッツ,福澤 晃平,髙橋 祐二,2,101
茨城ロボッツ,眞庭 城聖,友利 健哉,2,102
茨城ロボッツ,髙橋 祐二,二ノ宮 康平,2,103
茨城ロボッツ,アレクサンダー・ジョーンズ,ウィル・クリークモア,1,104
茨城ロボッツ,アレクサンダー・ジョーンズ,二ノ宮 康平,1,105
茨城ロボッツ,ウィル・クリークモア,鶴巻 啓太,1,106
茨城ロボッツ,ジャーラ 志多斗,ウィル・クリークモア,1,107
茨城ロボッツ,ジャーラ 志多斗,ニコラス・カナー メドリー,1,108
茨城ロボッツ,ダニエル・オチェフ,ジャーラ 志多斗,1,109
茨城ロボッツ,ダニエル・オチェフ,久保田 遼,1,110
茨城ロボッツ,ダニエル・オチェフ,二ノ宮 康平,1,111
茨城ロボッツ,ニコラス・カナー メドリー,アレクサンダー・ジョーンズ,1,112
茨城ロボッツ,ニコラス・カナー メドリー,友利 健哉,1,113
茨城ロボッツ,鎌田 真,久保田 遼,1,114
茨城ロボッツ,久保田 遼,鎌田 真,1,115
茨城ロボッツ,久保田 遼,平尾 充庸,1,116
茨城ロボッツ,久保田 遼,眞庭 城聖,1,117
茨城ロボッツ,久保田 遼,髙橋 祐二,1,118
茨城ロボッツ,小林 大祐,ニコラス・カナー メドリー,1,119
茨城ロボッツ,小林 大祐,久保田 遼,1,120
茨城ロボッツ,小林 大祐,鶴巻 啓太,1,121
茨城ロボッツ,鶴巻 啓太,ウィル・クリークモア,1,122
茨城ロボッツ,鶴巻 啓太,ダニエル・オチェフ,1,123
茨城ロボッツ,鶴巻 啓太,平尾 充庸,1,124
茨城ロボッツ,鶴巻 啓太,友利 健哉,1,125
茨城ロボッツ,二ノ宮 康平,ジャーラ 志多斗,1,126
茨城ロボッツ,平尾 充庸,久保田 遼,1,127
茨城ロボッツ,平尾 充庸,二ノ宮 康平,1,128
茨城ロボッツ,平尾 充庸,髙橋 祐二,1,129
茨城ロボッツ,友利 健哉,ジャーラ 志多斗,1,130
茨城ロボッツ,友利 健哉,ダニエル・オチェフ,1,131
茨城ロボッツ,友利 健哉,鎌田 真,1,132
茨城ロボッツ,友利 健哉,小林 大祐,1,133
茨城ロボッツ,友利 健哉,鶴巻 啓太,1,134
茨城ロボッツ,友利 健哉,福澤 晃平,1,135
茨城ロボッツ,友利 健哉,平尾 充庸,1,136
茨城ロボッツ,髙橋 祐二,友利 健哉,1,137
越谷アルファーズ,鳴海 亮,チャールズ・ヒンクル,35,1
越谷アルファーズ,飯田 鴻朗,小林 礼秧,31,2
越谷アルファーズ,飯田 鴻朗,チャールズ・ヒンクル,26,3
越谷アルファーズ,鳴海 亮,落合 知也,20,4
越谷アルファーズ,落合 知也,チャールズ・ヒンクル,20,5
越谷アルファーズ,長谷川 武,チャールズ・ヒンクル,19,6
越谷アルファーズ,アンドリュー・ネイミック,チャールズ・ヒンクル,18,7
越谷アルファーズ,チャールズ・ヒンクル,落合 知也,18,8
越谷アルファーズ,チャールズ・ヒンクル,鳴海 亮,16,9
越谷アルファーズ,チャールズ・ヒンクル,アンドリュー・ネイミック,14,10
越谷アルファーズ,長谷川 武,落合 知也,14,11
越谷アルファーズ,飯田 鴻朗,落合 知也,14,12
越谷アルファーズ,チャールズ・ヒンクル,アレクサンダー・ジョーンズ,12,13
越谷アルファーズ,酒井 達也,小林 礼秧,12,14
越谷アルファーズ,鳴海 亮,横塚 蛍,12,15
越谷アルファーズ,落合 知也,鳴海 亮,12,16
越谷アルファーズ,チャールズ・ヒンクル,ダニエル・オルトン,11,17
越谷アルファーズ,チャールズ・ヒンクル,小林 礼秧,11,18
越谷アルファーズ,田村 晋,チャールズ・ヒンクル,10,19
越谷アルファーズ,飯田 鴻朗,田村 晋,10,20
越谷アルファーズ,鳴海 亮,アレクサンダー・ジョーンズ,10,21
越谷アルファーズ,落合 知也,アンドリュー・ネイミック,10,22
越谷アルファーズ,鮫島 宗一郎,チャールズ・ヒンクル,9,23
越谷アルファーズ,飯田 鴻朗,長谷川 武,9,24
越谷アルファーズ,アーサー・スティーブンソン,チャールズ・ヒンクル,8,25
越谷アルファーズ,チャールズ・ヒンクル,長谷川 武,8,26
越谷アルファーズ,長谷川 武,アーサー・スティーブンソン,8,27
越谷アルファーズ,長谷川 武,アレクサンダー・ジョーンズ,8,28
越谷アルファーズ,長谷川 武,ダニエル・オルトン,8,29
越谷アルファーズ,飯田 鴻朗,アーサー・スティーブンソン,8,30
越谷アルファーズ,鳴海 亮,アーサー・スティーブンソン,8,31
越谷アルファーズ,落合 知也,アーサー・スティーブンソン,8,32
越谷アルファーズ,落合 知也,小林 礼秧,8,33
越谷アルファーズ,落合 知也,飯田 鴻朗,8,34
越谷アルファーズ,アンドリュー・ネイミック,鳴海 亮,7,35
越谷アルファーズ,チャールズ・ヒンクル,アーサー・スティーブンソン,7,36
越谷アルファーズ,チャールズ・ヒンクル,横塚 蛍,7,37
越谷アルファーズ,チャールズ・ヒンクル,鮫島 宗一郎,7,38
越谷アルファーズ,チャールズ・ヒンクル,酒井 達也,7,39
越谷アルファーズ,チャールズ・ヒンクル,飯田 鴻朗,7,40
越谷アルファーズ,鮫島 宗一郎,ダニエル・オルトン,7,41
越谷アルファーズ,酒井 達也,チャールズ・ヒンクル,7,42
越谷アルファーズ,小林 礼秧,チャールズ・ヒンクル,7,43
越谷アルファーズ,長谷川 武,小林 礼秧,7,44
越谷アルファーズ,長谷川 武,鳴海 亮,7,45
越谷アルファーズ,飯田 鴻朗,鳴海 亮,7,46
越谷アルファーズ,鳴海 亮,鮫島 宗一郎,7,47
越谷アルファーズ,鳴海 亮,小林 礼秧,7,48
越谷アルファーズ,落合 知也,鮫島 宗一郎,7,49
越谷アルファーズ,アンドリュー・ネイミック,横塚 蛍,6,50
越谷アルファーズ,ジャワッド・ウィリアムズ,鳴海 亮,6,51
越谷アルファーズ,横塚 蛍,チャールズ・ヒンクル,6,52
越谷アルファーズ,長谷川 武,横塚 蛍,6,53
越谷アルファーズ,長谷川 武,田村 晋,6,54
越谷アルファーズ,長谷川 武,飯田 鴻朗,6,55
越谷アルファーズ,飯田 鴻朗,アンドリュー・ネイミック,6,56
越谷アルファーズ,鳴海 亮,ダニエル・オルトン,6,57
越谷アルファーズ,鳴海 亮,長谷川 武,6,58
越谷アルファーズ,アレクサンダー・ジョーンズ,チャールズ・ヒンクル,5,59
越谷アルファーズ,アンドリュー・ネイミック,落合 知也,5,60
越谷アルファーズ,ダニエル・オルトン,チャールズ・ヒンクル,5,61
越谷アルファーズ,チャールズ・ヒンクル,田村 晋,5,62
越谷アルファーズ,鮫島 宗一郎,アレクサンダー・ジョーンズ,5,63
越谷アルファーズ,酒井 達也,アーサー・スティーブンソン,5,64
越谷アルファーズ,酒井 達也,田村 晋,5,65
越谷アルファーズ,酒井 達也,落合 知也,5,66
越谷アルファーズ,小林 礼秧,アンドリュー・ネイミック,5,67
越谷アルファーズ,落合 知也,ジャワッド・ウィリアムズ,5,68
