TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF,ID,YEAR,LEAGUE
仙台,22,宮本 滉希,PF,13,0,67:14,5:10,11,0.8,5,12,41.7%,0,0,0.0%,1,2,50.0%,3,6,9,0.7,8,0.6,1,1,1,3,5,1,2,15833,2018,2
八王子,39,福田 幹也,SF/PF,9,0,83:02,9:13,9,1.0,3,9,33.3%,3,6,50.0%,0,0,0.0%,4,5,9,1.0,5,0.6,0,3,1,0,20,4,2,18462,2018,2
FE名古屋,18,飛田 浩明,SG/SF,2,0,9:10,4:35,8,4.0,3,6,50.0%,2,5,40.0%,0,1,0.0%,0,3,3,1.5,2,1.0,0,1,0,0,4,1,5,8550,2018,2
香川,0,大澤 歩,PG,4,2,58:55,14:43,7,1.8,3,7,42.9%,1,4,25.0%,0,0,0.0%,2,3,5,1.3,9,2.3,6,2,0,0,8,4,3,9336,2018,2
広島,5,佐藤 優樹,SG,5,0,24:16,4:51,7,1.4,3,8,37.5%,0,2,0.0%,1,2,50.0%,0,2,2,0.4,2,0.4,0,0,0,0,3,1,1,8471,2018,2
青森,3,鮫島 和人,PG,9,0,41:40,4:37,7,0.8,3,7,42.9%,1,4,25.0%,0,0,0.0%,1,3,4,0.4,3,0.3,2,1,0,0,6,0,1,9396,2018,2
信州,6,齋藤 崇人,PG,4,0,12:06,3:01,6,1.5,1,6,16.7%,0,4,0.0%,4,4,100.0%,0,0,0,0.0,2,0.5,2,1,0,0,0,2,1,8668,2018,2
福島,4,猪狩 渉,PG,10,0,13:27,1:20,6,0.6,1,7,14.3%,1,2,50.0%,3,4,75.0%,0,1,1,0.1,2,0.2,4,0,0,0,4,3,-0,9330,2018,2
茨城,55,横尾 達泰,SG/SF,8,0,46:54,5:51,5,0.6,2,7,28.6%,1,3,33.3%,0,2,0.0%,2,1,3,0.4,7,0.9,3,1,0,0,2,2,1,8837,2018,2
西宮,0,上原 壮大郎,PG,3,0,17:12,5:44,4,1.3,1,3,33.3%,0,1,0.0%,2,4,50.0%,0,2,2,0.7,4,1.3,2,0,0,0,3,2,1,18175,2018,2
奈良,5,仁平 拓海,SF/PF,9,0,43:51,4:52,4,0.4,2,10,20.0%,0,1,0.0%,0,4,0.0%,4,4,8,0.9,3,0.3,6,1,0,2,6,2,-0,10881,2018,2
香川,25,原田 祥伍,PF,7,0,52:24,7:29,3,0.4,1,11,9.1%,0,1,0.0%,1,2,50.0%,3,3,6,0.9,3,0.4,4,1,2,3,12,2,0,18463,2018,2
信州,15,佐藤 託矢,PF,4,0,23:03,5:45,3,0.8,1,3,33.3%,0,0,0.0%,1,2,50.0%,1,3,4,1.0,0,0.0,4,1,0,0,3,3,0,8458,2018,2
FE名古屋,5,伊藤 大,SG,11,0,65:14,5:55,3,0.3,1,6,16.7%,1,5,20.0%,0,0,0.0%,0,3,3,0.3,11,1.0,3,0,0,0,18,2,1,8527,2018,2
群馬,26,中野 広大,SG,6,0,16:28,2:44,3,0.5,1,4,25.0%,1,4,25.0%,0,0,0.0%,0,1,1,0.2,2,0.3,0,0,0,0,0,0,1,10892,2018,2
広島,10,坂井 レオ,PF/C,6,0,19:22,3:13,3,0.5,1,6,16.7%,0,0,0.0%,1,2,50.0%,1,1,2,0.3,0,0.0,2,1,0,1,6,1,-0,8537,2018,2
八王子,10,セオン・エディ,SG,1,1,27:51,27:51,2,2.0,0,4,0.0%,0,2,0.0%,2,2,100.0%,1,7,8,8.0,4,4.0,2,0,0,1,3,2,8,9027,2018,2
島根,50,梅津 大介,SF,2,0,5:22,2:41,2,1.0,1,2,50.0%,0,0,0.0%,0,0,0.0%,2,0,2,1.0,0,0.0,0,0,0,0,0,0,2,8702,2018,2
島根,42,コナー・クリフォード,C,1,0,3:40,3:40,0,0.0,0,3,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0,0.0,0,0,0,0,1,0,-3,12600,2018,2
西宮,91,佐藤 浩貴,C,5,1,28:15,5:39,0,0.0,0,0,0.0%,0,0,0.0%,0,2,0.0%,3,7,10,2.0,1,0.2,0,0,0,0,9,3,2,8640,2018,2
山形,75,赤土 裕典,SF/PF,6,0,9:15,1:32,0,0.0,0,1,0.0%,0,0,0.0%,0,0,0.0%,1,0,1,0.2,0,0.0,1,0,0,0,3,0,-0,10884,2018,2
山形,6,岩田 涼太,SG/SF,0,0,0:13,0,0,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,10896,2018,2
群馬,11,藤原 隆充,PG/SG,2,0,2:29,1:14,0,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,8609,2018,2
八王子,9,岡田 優,SG,0,0,0:13,0,0,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,8732,2018,2
