"","1Q.A","2Q.A","3Q.A","4Q.A","F.A","2POINTSFGM.A","2POINTSFGA.A","2POINTSFGR.A","3POINTSFGM.A","3POINTSFGA.A","3POINTSFGR.A","FREE-THROWSM.A","FREE-THROWSA.A","FREE-THROWSR.A","OFFENSIVEREBOUNDS.A","DEFENSIVEREBOUNDS.A","TOTALREBOUNDS.A","ASSIST.A","TURNOVER.A","STEALS.A","BLOCKS.A","FOULS.A","FASTBREAKPOINTS.A","BIGGESTLEAD.A","POINTSINTHEPAINT.A","POINTSFROMTURNOVER.A","SECONDCHANCEPOINTS.A","BIGGESTSCORINGRUN.A","1Q.B","2Q.B","3Q.B","4Q.B","F.B","2POINTSFGM.B","2POINTSFGA.B","2POINTSFGR.B","3POINTSFGM.B","3POINTSFGA.B","3POINTSFGR.B","FREE-THROWSM.B","FREE-THROWSA.B","FREE-THROWSR.B","OFFENSIVEREBOUNDS.B","DEFENSIVEREBOUNDS.B","TOTALREBOUNDS.B","ASSIST.B","TURNOVER.B","STEALS.B","BLOCKS.B","FOULS.B","FASTBREAKPOINTS.B","BIGGESTLEAD.B","POINTSINTHEPAINT.B","POINTSFROMTURNOVER.B","SECONDCHANCEPOINTS.B","BIGGESTSCORINGRUN.B","GAMEIDX","DATE","TEAM.A","TEAM.B"
"34","19","23","26","25","93","26","43","60.5%","8","15","53.3%","17","19","89.5%","8","30","38","20","14","3","1","14","7","18","40","6","11","10-0(56-68)","23","23","10","28","84","21","46","45.7%","11","29","37.9%","9","10","90%","13","17","30","10","7","11","1","22","8","11","36","14","15","10-0(33-22)",34,"1.28","êÏçË","ñºå√âÆD"
"35","10","18","20","24","72","21","43","48.8%","3","19","15.8%","21","22","95.5%","13","34","47","9","17","8","0","19","4","7","40","5","10","9-0(14-13)","14","15","15","24","68","13","29","44.8%","10","35","28.6%","12","13","92.3%","7","26","33","14","15","10","2","23","6","10","20","9","2","8-0(10-2)",35,"1.29","êÏçË","ñºå√âÆD"
"36","19","15","21","24","79","28","58","48.3%","4","16","25%","11","11","100%","11","37","48","20","6","7","1","14","10","28","42","6","10","12-0(73-45)","16","6","17","16","55","20","55","36.4%","3","14","21.4%","6","7","85.7%","10","31","41","13","10","1","3","16","6","4","22","4","6","6-0(73-51)",36,"2.04","êÏçË","óÆãÖ"
"37","25","22","29","11","87","29","49","59.2%","6","22","27.3%","11","13","84.6%","7","29","36","20","8","5","1","15","14","33","42","8","6","11-0(36-22)","20","14","13","29","76","23","45","51.1%","8","23","34.8%","6","9","66.7%","9","30","39","22","13","5","4","17","6","1","32","9","6","11-0(79-63)",37,"2.05","êÏçË","óÆãÖ"
"38","20","13","29","19","81","23","49","46.9%","7","21","33.3%","14","15","93.3%","13","24","37","12","12","3","1","17","6","13","28","8","8","13-0(31-21)","21","18","14","31","84","16","36","44.4%","13","20","65%","13","16","81.3%","5","26","31","17","13","6","4","19","2","6","20","8","2","13-0(33-39)",38,"2.18","êÏçË","ëÂç„"
"39","19","24","22","22","87","23","50","46%","6","19","31.6%","23","28","82.1%","23","24","47","9","11","5","1","22","4","22","34","4","15","10-0(12-7)","13","18","19","26","76","20","41","48.8%","9","24","37.5%","9","15","60%","14","17","31","13","11","5","6","25","4","5","30","4","9","7-0(81-75)",39,"2.19","êÏçË","ëÂç„"
"40","31","21","20","23","95","26","44","59.1%","9","19","47.4%","16","26","61.5%","10","30","40","20","13","4","0","11","2","20","32","2","14","12-0(6-17)","16","22","23","27","88","29","51","56.9%","7","22","31.8%","9","10","90%","8","22","30","14","8","7","1","24","8","2","50","8","8","6-0(73-76)",40,"2.22","êÏçË","ïxéR"
"41","17","21","19","17","91","27","58","46.6%","5","17","29.4%","22","29","75.9%","18","32","50","15","13","8","4","14","4","6","38","4","14","7-0(27-24)","21","19","14","20","86","23","49","46.9%","11","26","42.3%","7","12","58.3%","12","27","39","16","13","8","8","26","4","10","40","12","13","8-0(27-17)",41,"3.03","êÏçË","êÂë‰"
"42","12","25","16","23","76","19","53","35.8%","9","19","47.4%","11","14","78.6%","16","30","46","18","10","9","4","12","4","22","26","0","8","10-0(0-10)","9","12","13","30","64","19","51","37.3%","6","17","35.3%","8","9","88.9%","13","29","42","10","12","3","5","16","6","0","28","10","8","8-0(10-12)",42,"3.04","êÏçË","êÂë‰"
"43","28","18","19","18","83","23","45","51.1%","6","15","40%","19","31","61.3%","9","28","37","14","8","6","2","21","6","22","32","8","6","10-0(17-9)","19","13","20","28","80","19","48","39.6%","8","23","34.8%","18","25","72%","17","27","44","15","11","5","4","26","2","2","30","2","9","8-0(76-73)",43,"3.10","êÏçË","ãûìs"
