TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF
西宮,5,ハーバート・ヒル,PF/C,29,20,728:15:00,25:06:00,418,14.4,185,365,50.70%,0,2,0.00%,48,81,59.30%,62,138,200,6.9,52,1.8,71,17,28,31,47,81,15
横浜,0,細谷 将司,PG,58,47,1346:58:00,23:13,412,7.1,142,357,39.80%,68,191,35.60%,60,70,85.70%,12,88,100,1.7,193,3.3,74,42,0,13,83,85,8
三遠,5,川嶋 勇人,PG,53,17,1352:38:00,25:31:00,411,7.8,152,397,38.30%,51,158,32.30%,56,88,63.60%,19,109,128,2.4,173,3.3,77,58,18,16,113,110,8
大阪,14,橋本 拓哉,SG,57,32,1198:26:00,21:01,409,7.2,135,322,41.90%,30,89,33.70%,109,130,83.80%,33,116,149,2.6,136,2.4,87,19,11,19,102,127,8
栃木,10,竹内 公輔,PF/C,58,30,1549:57:00,26:43:00,408,7,170,344,49.40%,5,19,26.30%,63,102,61.80%,139,254,393,6.8,76,1.3,43,43,53,25,97,103,12
新潟,34,ラモント・ハミルトン,PF/C,30,16,685:03:00,22:50,399,13.3,153,337,45.40%,36,107,33.60%,57,92,62.00%,32,139,171,5.7,37,1.2,46,16,29,12,62,79,13
千葉,10,アキ・チェンバース,SF,60,24,1205:51:00,20:05,390,6.5,155,315,49.20%,39,126,31.00%,41,64,64.10%,48,93,141,2.4,81,1.4,49,63,18,11,121,59,8
滋賀,24,高橋 耕陽,SG/SF,56,22,1068:38:00,19:04,386,6.9,143,338,42.30%,46,162,28.40%,54,72,75.00%,41,92,133,2.4,58,1,65,53,12,13,89,65,7
横浜,8,満田 丈太郎,SG,58,42,1155:47:00,19:55,378,6.5,153,334,45.80%,31,87,35.60%,41,57,71.90%,41,76,117,2,111,1.9,60,37,11,21,77,55,7
滋賀,55,ベンキー・ジョイス,PF,31,4,735:40:00,23:43,374,12.1,156,292,53.40%,3,10,30.00%,59,175,33.70%,81,135,216,7,76,2.5,74,43,21,29,84,157,13
横浜,21,田渡 凌,PG,58,11,1043:32:00,17:59,372,6.4,154,366,42.10%,10,59,16.90%,54,72,75.00%,14,74,88,1.5,174,3,73,49,0,19,49,69,7
琉球,30,ヒルトン・アームストロング,C,60,16,1259:35:00,20:59,369,6.2,140,250,56.00%,0,9,0.00%,89,168,53.00%,125,280,405,6.8,124,2.1,127,66,51,16,181,176,12
