"","#","S","PLAYER","PO","MIN","PTS","FGM","FGA","FG%","3FGM","3FGA","3FG%","FTM","FTA","FT%","OR","DR","TR","AS","TO","ST","BS","BSR","F","FD","DUNK","EFF","SHEDULEKEY","TEAM"
"923",27,"〇","眞庭 城聖眞庭","SF","34:08",9,3,8,"37.5%",0,3,"0.0%",3,4,"75.0%",0,2,2,6,4,0,0,0,2,6,0,7,"3530","茨城"
"924",33,"〇","カール・バプティストバプティスト","PF","36:41",34,13,18,"72.2%",1,2,"50.0%",7,9,"77.8%",2,11,13,3,4,0,3,1,1,8,2,42,"3530","茨城"
"925",55,"","横尾 達泰横尾","SG/SF","05:01",0,0,1,"0.0%",0,0,"-",0,0,"-",0,0,0,1,1,0,0,0,0,0,0,-1,"3530","茨城"
"926",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",0,1,1,0,1,0,0,0,0,0,0,0,"3530","茨城"
"927",NA,"","合計","","200:00",71,25,49,"51.0%",2,11,"18.2%",19,26,"73.1%",4,36,40,22,14,4,3,2,12,22,2,95,"3530","茨城"
"928",0,"","上原 壮大郎上原","PG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3530","西宮"
"929",2,"〇","ドゥレイロン・バーンズバーンズ","SG/SF","38:09",19,7,20,"35.0%",4,11,"36.4%",1,1,"100.0%",0,6,6,9,1,4,1,0,1,2,0,25,"3530","西宮"
"930",3,"〇","松崎 賢人松崎","PG","13:26",3,1,1,"100.0%",1,1,"100.0%",0,0,"-",0,0,0,2,0,0,0,0,1,2,0,5,"3530","西宮"
"931",6,"","大塚 勇人大塚","PG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3530","西宮"
"932",9,"〇","谷 直樹谷","SF","34:21",15,7,14,"50.0%",1,6,"16.7%",0,0,"-",1,2,3,2,2,1,0,0,2,2,0,12,"3530","西宮"
"933",13,"","道原 紀晃道原","PG/SG","23:48",8,4,7,"57.1%",0,1,"0.0%",0,0,"-",1,2,3,4,2,2,0,0,2,1,0,12,"3530","西宮"
"934",15,"","谷口 淳谷口","PF","19:08",0,0,2,"0.0%",0,1,"0.0%",0,0,"-",0,3,3,1,0,0,0,0,4,1,0,2,"3530","西宮"
"935",19,"","梁川 禎浩梁川","SG","11:52",5,2,3,"66.7%",1,2,"50.0%",0,0,"-",0,1,1,0,0,0,0,0,2,0,0,5,"3530","西宮"
"936",33,"〇","ランディー・ホワイトホワイト","C","25:21",13,5,15,"33.3%",1,4,"25.0%",2,2,"100.0%",2,2,4,2,0,0,1,2,5,2,1,10,"3530","西宮"
"937",35,"〇","内藤 健太内藤","SG","22:33",5,2,7,"28.6%",1,2,"50.0%",0,2,"0.0%",0,4,4,2,0,0,0,1,4,1,0,4,"3530","西宮"
"938",47,"","土屋 アリスター時生土屋","C","11:22",2,1,1,"100.0%",0,0,"-",0,0,"-",0,2,2,0,0,0,0,0,1,1,0,4,"3530","西宮"
