"RANK","PLAYER","TEAM","G","GS","MIN","MINPG","PPG","FGMPG","FGAPG","FG%","2FGMPG","2FGAPG","2FG%","3FGMPG","3FGAPG","3FG%","FTMPG","FTAPG","FT%","ORPG","DRPG","RPG","APG","TOPG","STPG","BSPG","BSRPG","FPG","FDPG","EFFPG","PLUSMINUS","POSITION"
180,"西野 曜","SR渋谷",59,4,800.5,13.6,5.1,1.9,3.6,"53.7%",1.8,3.0,"59.4%",0.2,0.7,"28.2%",1.0,1.5,"66.7%",0.7,0.9,1.5,1.0,0.9,0.4,0.1,0.2,2.2,1.3,3.9,-3.5,"SF"
181,"大浦 颯太","秋田",44,5,538.1,12.2,5.0,1.9,4.8,"40.3%",1.2,2.6,"45.1%",0.8,2.2,"34.7%",0.4,0.5,"81.0%",0.2,0.8,1.0,1.6,0.8,0.5,0.1,0.2,1.3,0.7,3.6,-1.5,"PG"
182,"澤邉 圭太","仙台",55,24,968.0,17.6,5.0,1.9,4.6,"40.0%",1.3,2.7,"47.0%",0.6,1.9,"30.2%",0.7,1.1,"65.0%",0.3,1.3,1.6,1.1,1.1,0.6,0.0,0.2,2.7,1.2,2.3,-2.5,"SG"
183,"納見 悠仁","川崎",60,1,799.0,13.3,5.0,1.9,4.9,"37.8%",1.1,2.5,"43.4%",0.8,2.4,"31.7%",0.5,0.6,"85.7%",0.2,1.0,1.3,2.5,1.2,0.6,0.0,0.1,1.2,1.1,4.7,1.6,"PG/SG"
184,"大倉 颯太","千葉J",14,1,241.0,17.2,4.9,1.4,4.6,"29.2%",0.9,2.2,"38.7%",0.5,2.4,"20.6%",1.7,2.3,"75.0%",0.5,0.9,1.4,2.8,1.3,1.1,0.1,0.4,1.4,2.7,6.1,5.4,"PG/SG"
185,"前田 悟","川崎",54,11,767.4,14.2,4.9,1.7,4.7,"35.2%",0.7,1.9,"40.0%",0.9,2.9,"32.1%",0.6,0.9,"68.6%",0.4,0.9,1.4,0.9,0.5,0.4,0.1,0.1,1.5,0.9,3.1,0.7,"SG"
186,"松脇 圭志","琉球",60,0,1029.4,17.2,4.8,1.6,4.8,"34.1%",0.3,0.8,"31.9%",1.4,4.0,"34.6%",0.2,0.3,"66.7%",0.3,0.9,1.3,1.2,0.9,0.7,0.1,0.2,1.7,0.4,2.5,3.0,"SG"
187,"山崎 稜","群馬",59,9,746.5,12.7,4.8,1.7,4.1,"41.0%",0.6,1.7,"37.0%",1.0,2.4,"43.9%",0.4,0.5,"82.1%",0.2,0.7,0.8,0.7,0.6,0.2,0.1,0.1,1.7,0.7,2.3,-2.5,"SG"
188,"栗原 ルイス","信州",47,31,894.6,19.0,4.7,1.6,5.0,"32.5%",0.5,1.5,"34.8%",1.1,3.5,"31.5%",0.4,0.5,"82.6%",0.6,1.9,2.5,1.5,0.7,0.3,0.1,0.1,1.4,0.9,4.4,0.2,"SG"
189,"川嶋 勇人","秋田",51,20,940.8,18.4,4.7,1.5,5.1,"30.5%",0.6,2.3,"28.7%",0.9,2.8,"31.9%",0.7,0.9,"79.5%",0.6,0.8,1.4,2.6,1.1,1.2,0.2,0.2,2.2,1.3,4.2,1.3,"SG"
190,"喜志永 修斗","富山",28,23,726.6,25.9,4.7,1.8,4.3,"41.3%",0.9,1.8,"53.1%",0.9,2.6,"33.3%",0.3,0.4,"58.3%",0.7,1.5,2.1,4.2,1.5,1.1,0.1,0.1,1.9,1.0,7.1,-5.8,"PG"
191,"小川 敦也","宇都宮",3,0,46.1,15.4,4.7,2.0,4.0,"50.0%",2.0,3.3,"60.0%",0.0,0.7,"0.0%",0.7,1.3,"50.0%",1.0,1.0,2.0,3.0,1.7,0.3,0.0,0.0,1.0,0.7,5.3,9.3,""
