TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF
金沢,6,木田 貴明,SF,38,32,947:12:00,24:55:00,294,7.7,100,287,34.80%,47,157,29.90%,47,64,73.40%,21,59,80,2.1,45,1.2,34,22,0,9,84,58,5
FE名古屋,13,成田 正弘,PG,48,33,1100:43:00,22:55,294,6.1,100,301,33.20%,38,136,27.90%,56,83,67.50%,15,72,87,1.8,180,3.8,93,41,0,18,91,92,6
広島,5,山田 大治,PF/C,53,40,960:33:00,18:07,285,5.4,112,234,47.90%,0,3,0.00%,61,86,70.90%,25,104,129,2.4,157,3,77,14,6,7,78,86,7
岩手,68,永田　晃司,G,60,37,1080:06:00,18:00,282,4.7,103,237,43.50%,28,81,34.60%,48,56,85.70%,48,94,142,2.4,128,2.1,79,55,5,13,133,77,7
熊本,88,高村 成寿,PF/C,55,19,842:07:00,15:18,282,5.1,107,254,42.10%,43,125,34.40%,25,37,67.60%,38,83,121,2.2,48,0.9,42,18,5,5,85,62,5
信州,7,古橋 広樹,SG,32,29,667:58:00,20:52,280,8.8,110,246,44.70%,40,122,32.80%,20,35,57.10%,17,69,86,2.7,36,1.1,15,22,8,7,53,45,8
岩手,44,ジャマール・ソープ,SF/PF,22,10,469:42:00,21:21,276,12.5,102,238,42.90%,9,38,23.70%,63,86,73.30%,38,80,118,5.4,46,2.1,50,12,4,15,51,71,11
福岡,7,北向 由樹,PG,60,27,1086:30:00,18:06,267,4.5,95,253,37.50%,65,189,34.40%,12,20,60.00%,18,67,85,1.4,81,1.4,28,25,1,2,48,17,4
信州,24,鈴木 大,PG/SG,60,25,1178:43:00,19:38,266,4.4,89,265,33.60%,26,97,26.80%,62,83,74.70%,19,70,89,1.5,138,2.3,85,33,4,10,75,79,4
福岡,21,加納 督大,SF,60,9,982:51:00,16:22,264,4.4,101,240,42.10%,3,17,17.60%,59,87,67.80%,38,53,91,1.5,93,1.6,55,61,5,13,98,73,5
仙台,4,志村 雄彦,PG,60,12,1271:57:00,21:11,262,4.4,84,245,34.30%,43,125,34.40%,51,65,78.50%,40,85,125,2.1,268,4.5,67,72,1,7,153,118,8
仙台,50,マーカス・クザン,C,32,3,601:23:00,18:47,258,8.1,106,194,54.60%,0,0,0.00%,46,71,64.80%,70,149,219,6.8,21,0.7,47,8,13,12,68,83,11
福島,18,川満 寿史,SF,51,10,917:39:00,17:59,257,5,84,215,39.10%,31,102,30.40%,58,72,80.60%,17,79,96,1.9,53,1,46,26,10,10,91,75,5
福島,5,友利 健哉,PG,50,8,1077:10:00,21:32,246,4.9,83,227,36.60%,42,122,34.40%,38,53,71.70%,13,77,90,1.8,157,3.1,67,52,1,7,84,73,6
茨城,9,トアーリン・フィッツパトリック,PF,30,3,552:27:00,18:24,240,8,102,251,40.60%,26,93,28.00%,10,19,52.60%,35,183,218,7.3,57,1.9,59,13,18,2,80,28,11
群馬,9,神原 裕司,PG/SG,54,15,1116:41:00,20:40,239,4.4,87,244,35.70%,44,149,29.50%,21,31,67.70%,44,63,107,2,108,2,55,69,5,5,94,42,6
山形,31,クリストファー・オリビエ,C,15,4,272:53:00,18:11,237,15.8,100,164,61.00%,0,1,0.00%,37,56,66.10%,23,55,78,5.2,5,0.3,32,11,16,9,32,54,15
福島,2,德川 慎之介,SG,59,38,830:44:00,14:04,236,4,73,220,33.20%,31,113,27.40%,59,80,73.80%,24,59,83,1.4,43,0.7,47,45,2,14,129,74,3
